original_painting #,original_title,original_date created,original_place created,original_patron origin,original_patron,original_patron type,original_genre,lat,lon,formatted,district,postcode,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
165,Diana and Callisto,1556,Venice,Spain,Philip II,government,myth,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
166,Adoration of the Kings,1557,Venice,Ferrara,d'Este,private,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
167,Last Supper,1557,Venice,Spain,Philip II,government,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
168,Crucifixion,1558,Venice,Ancona,San Domenico,church,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
169,Agony in the Garden,1558,Venice,Spain,Philip II,government,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
170,Adoration of the Kings (Type II),1559,Venice,Spain,Philip II,government,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
171,Lavinia as Matron,1560,Venice,Ferrara,d'Este,private,portrait,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
172,"Madonna and Nursing Child with SS. Andrew and Tiziano, and Titian as Donor",1560,Venice,Pieve de Cadore,Parish Church,church,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
173,Christ Carrying the Cross,1560,Venice,Spain,Philip II,government,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
174,Adoration of the Kings (Type II),1560,Venice,Spain,Antonio Perez,private,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
175,St. John the Baptist,1560,Venice,Spain,Philip II,government,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
176,Ecce Homo,1560,Venice,Venice,unknown,private,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
177,Filippo Strozzi,1560,Venice,Venice,Filippo Strozzi,private,portrait,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
178,Europa,1560,Venice,Spain,Philip II,government,myth,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
179,Wisdom,1560,Venice,Venice,Library of St. Mark's,government,myth,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
180,Transfiguration,1560,Venice,Venice,San Salvador,Church,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
181,St. Mary Magdalene in Penitence,1561,Venice,Spain,Philip II,government,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
182,Antonio Palma,1561,Venice,Venice,Antonio Palma,private,portrait,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
183,Annunciation,1562,Venice,Venice,San Salvador,church,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
184,Madonna and Child in an Evening Landscape,1562,Venice,Spain,Philip II,government,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
185,Agony in the Garden,1563,Venice,Spain,Philip II,government,religious,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
