,Date,Lie,Explanation,URL
15,"Feb. 6, 2017",I have already saved more than $700 million when I got involved in the negotiation on the F-35.,Much of the price drop was projected before Trump took office.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
16,"Feb. 6, 2017","It's gotten to a point where it is not even being reported. And in many cases, the very, very dishonest press doesn't want to report it.","Terrorism has been reported on, often in detail.",https://www.nytimes.com/2017/02/07/us/politics/the-white-house-list-of-terror-attacks-underreported-by-media.html
17,"Feb. 6, 2017",The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,It didn't apologize.,https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html
18,"Feb. 6, 2017","And the previous administration allowed it to happen because we shouldn't have been in Iraq, but we shouldn't have gotten out the way we got out. It created a vacuum, ISIS was formed.",The group’s origins date to 2004.,https://www.nytimes.com/2015/11/19/world/middleeast/in-rise-of-isis-no-single-missed-key-but-many-strands-of-blame.html
19,"Feb. 7, 2017","And yet the murder rate in our country is the highest it’s been in 47 years, right? Did you know that? Forty-seven years.",It was higher in the 1980s and '90s.,http://www.politifact.com/truth-o-meter/statements/2017/feb/08/donald-trump/donald-trump-wrong-murder-rate-highest-47-years/
20,"Feb. 7, 2017","I saved more than $600 million. I got involved in negotiation on a fighter jet, the F-35.",The Defense Department projected this price drop before Trump took office.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
21,"Feb. 9, 2017","Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ‘service’ in Vietnam. FAKE NEWS!",It was part of Cuomo's first question.,http://transcripts.cnn.com/TRANSCRIPTS/1702/09/nday.05.html
22,"Feb. 9, 2017",Sen. Richard Blumenthal now misrepresents what Judge Gorsuch told him?,The Gorsuch comments were later corroborated.,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/10/heres-what-trump-got-wrong-on-twitter-this-week-5/?utm_term=.6fbfc4abc6e0
23,"Feb. 10, 2017",I don’t know about it. I haven’t seen it. What report is that?,Trump knew about Flynn's actions for weeks.,http://www.factcheck.org/2017/02/trump-spins-flynn-facts/
24,"Feb. 12, 2017",Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!,The media did cover it.,http://www.palmbeachpost.com/news/national-govt--politics/trump-heads-back-protesters-supporters-gather/CQXPE9NRk807XKWiDwefWK/
25,"Feb. 16, 2017",We got 306 because people came out and voted like they've never seen before so that's the way it goes. I guess it was the biggest Electoral College win since Ronald Reagan.,"George H.W. Bush, Bill Clinton and Barack Obama all won bigger margins in the Electoral College.",https://www.nytimes.com/2017/02/16/us/politics/trump-fact-check.html
26,"Feb. 16, 2017",That’s the other thing that was wrong with the travel ban. You had Delta with a massive problem with their computer system at the airports.,Delta's problems happened two days later.,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/03/what-trump-got-wrong-on-twitter-this-week-4/
27,"Feb. 16, 2017","Walmart announced it will create 10,000 jobs in the United States just this year because of our various plans and initiatives.",The jobs are a result of its investment plans announced in Oct. 2016.,https://www.nytimes.com/interactive/2017/business/economy/trump-jobs.html
28,"Feb. 16, 2017","When WikiLeaks, which I had nothing to do with, comes out and happens to give, they’re not giving classified information.",Not always. They have released classified information in the past.,http://www.politifact.com/truth-o-meter/article/2017/feb/16/fact-checking-donald-trumps-press-conference/
29,"Feb. 16, 2017",We had a very smooth rollout of the travel ban. But we had a bad court. Got a bad decision.,The rollout was chaotic.,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/16/fact-checking-president-trumps-news-conference/?utm_term=.517d64230dcf
30,"Feb. 16, 2017","They’re giving stuff — what was said at an office about Hillary cheating on the debates. Which, by the way, nobody mentions. Nobody mentions that Hillary received the questions to the debates.",It was widely covered.,http://www.politifact.com/truth-o-meter/article/2017/feb/16/fact-checking-donald-trumps-press-conference/
31,"Feb. 18, 2017",And there was no way to vet those people. There was no documentation. There was no nothing.,"Refugees receive multiple background checks, taking up to two years.",https://www.nytimes.com/interactive/2017/01/29/us/refugee-vetting-process.html
32,"Feb. 18, 2017","You look at what's happening in Germany, you look at what's happening last night in Sweden. Sweden, who would believe this?","Trump implied there was a terror attack in Sweden, but there was no such attack.",https://www.nytimes.com/2017/02/19/world/europe/last-night-in-sweden-trumps-remark-baffles-a-nation.html?rref=collection%2Ftimestopic%2FSweden&action=click&contentCollection=world&region=stream&module=stream_unit&version=latest&contentPlacement=7&pgtype=collection
33,"Feb. 24, 2017","By the way, you folks are in here — this place is packed, there are lines that go back six blocks.",There was no evidence of long lines.,http://thehill.com/homenews/administration/320988-trump-falsely-claims-lines-go-back-6-blocks-for-cpac-speech
34,"Feb. 24, 2017",ICE came and endorsed me.,Only its union did.,http://www.politifact.com/truth-o-meter/statements/2016/oct/10/donald-trump/trump-says-ice-endorsed-him/
35,"Feb. 24, 2017","Obamacare covers very few people — and remember, deduct from the number all of the people that had great health care that they loved that was taken away from them — it was taken away from them.",Obamacare increased coverage by a net of about 20 million.,https://www.nytimes.com/2017/02/24/us/politics/fact-check-trump-blasts-fake-news-and-repeats-inaccurate-claims-at-cpac.html
36,"Feb. 27, 2017","Since Obamacare went into effect, nearly half of the insurers are stopped and have stopped from participating in the Obamacare exchanges.",Many fewer pulled out.,http://www.heritage.org/health-care-reform/report/the-2017-health-insurance-exchanges-major-decrease-competition-and-choice
37,"Feb. 27, 2017","On one plane, on a small order of one plane, I saved $725 million. And I would say I devoted about, if I added it up, all those calls, probably about an hour. So I think that might be my highest and best use.",Much of the price cut was already projected.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
38,"Feb. 28, 2017","And now, based on our very strong and frank discussions, they are beginning to do just that.",NATO countries agreed to meet defense spending requirements in 2014.,https://www.nytimes.com/2017/03/01/us/politics/fact-check-trump-military.html
39,"Feb. 28, 2017",The E.P.A.’s regulators were putting people out of jobs by the hundreds of thousands.,There's no evidence that the Waters of the United States rule caused severe job losses.,http://www.nytimes.com/2011/09/05/business/economy/a-debate-arises-on-job-creation-vs-environmental-regulation.html
40,"Feb. 28, 2017",We have begun to drain the swamp of government corruption by imposing a five-year ban on lobbying by executive branch officials.,They can't lobby their former agency but can still become lobbyists.,https://www.washingtonpost.com/politics/2017/live-updates/trump-white-house/real-time-fact-checking-and-analysis-of-trumps-address-to-congress/fact-check-bans-on-lobbying/?utm_term=.ce1370a2b78d
41,"March 3, 2017",It is so pathetic that the Dems have still not approved my full Cabinet.,Paperwork for the last two candidates was still not submitted to the Senate.,https://www.washingtonpost.com/news/politics/wp/2017/03/03/trump-is-blaming-the-democrats-for-cabinet-delays-that-are-normal-and-his-own-fault/?utm_term=.68b1395b9ff1
42,"March 4, 2017",Terrible! Just found out that Obama had my ‘wires tapped’ in Trump Tower just before the victory. Nothing found. This is McCarthyism!,There's no evidence of a wiretap.,https://www.nytimes.com/2017/03/04/us/politics/trump-obama-tap-phones.html
43,"March 4, 2017",How low has President Obama gone to tap my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!,There's no evidence of a wiretap.,https://www.nytimes.com/2017/03/04/us/politics/trump-obama-tap-phones.html
44,"March 7, 2017","122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!",113 of them were released by President George W. Bush.,https://www.nytimes.com/2017/03/07/us/politics/guantanamo-bay-trump.html
45,"March 13, 2017","I saved a lot of money on those jets, didn't I? Did I do a good job? More than $725 million on them.",Much of the cost cuts were planned before Trump.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
46,"March 13, 2017","First of all, it covers very few people.",About 20 million people gained insurance under Obamacare.,https://www.nytimes.com/2017/03/13/us/politics/fact-check-trump-obamacare-health-care.html
47,"March 15, 2017","On the airplanes, I saved $725 million. Probably took me a half an hour if you added up all of the times.",Much of the cost cuts were planned before Trump.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
48,"March 17, 2017","I was in Tennessee — I was just telling the folks — and half of the state has no insurance company, and the other half is going to lose the insurance company.",There's at least one insurer in every Tennessee county.,https://public.tableau.com/profile/kaiser.family.foundation#!/vizhome/InsurerParticipationinthe2017IndividualMarketplace/2017InsurerParticipation
49,"March 20, 2017","With just one negotiation on one set of airplanes, I saved the taxpayers of our country over $700 million.",Much of the cost cuts were planned before Trump.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
50,"March 21, 2017","To save taxpayer dollars, I’ve already begun negotiating better contracts for the federal government — saving over $700 million on just one set of airplanes of which there are many sets.",Much of the cost cuts were planned before Trump.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
51,"March 22, 2017","I make the statement, everyone goes crazy. The next day they have a massive riot, and death, and problems.",Riots in Sweden broke out two days later and there were no deaths.,https://www.nytimes.com/2017/02/19/world/europe/last-night-in-sweden-trumps-remark-baffles-a-nation.html
52,"March 22, 2017","NATO, obsolete, because it doesn’t cover terrorism. They fixed that.",It has fought terrorism since the 1980s.,http://www.politifact.com/truth-o-meter/statements/2016/sep/27/donald-trump/donald-trump-wrong-again-about-nato-increasing-ter/
53,"March 22, 2017","Well, now, if you take a look at the votes, when I say that, I mean mostly they register wrong — in other words, for the votes, they register incorrectly and/or illegally. And they then vote. You have tremendous numbers of people.",There's no evidence of widespread voter fraud.,https://www.nytimes.com/2017/01/24/us/politics/unauthorized-immigrant-voting-trump-lie.html
54,"March 29, 2017","Remember when the failing @nytimes apologized to its subscribers, right after the election, because their coverage was so wrong. Now worse!",It didn't apologize.,https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html
55,"March 31, 2017","We have a lot of plants going up now in Michigan that were never going to be there if I — if I didn’t win this election, those plants would never even think about going back. They were gone.",These investments were already planned.,https://www.nytimes.com/interactive/2017/business/economy/trump-jobs.html
56,"April 2, 2017","And I was totally opposed to the war in the Middle East which I think finally has been proven, people tried very hard to say I wasn’t but you’ve seen that it is now improving.",He was for an invasion before he was against it.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
57,"April 2, 2017","Now, my last tweet — you know, the one that you are talking about, perhaps — was the one about being, in quotes, wiretapped, meaning surveilled. Guess what, it is turning out to be true.",There is still no evidence.,https://www.nytimes.com/2017/03/04/us/politics/trump-obama-tap-phones.html
58,"April 5, 2017",You have many states coming up where they’re going to have no insurance company. O.K.? It’s already happened in Tennessee. It’s happening in Kentucky. Tennessee only has half coverage. Half the state is gone. They left.,Every marketplace region in Tennessee had at least one insurer.,https://www.nytimes.com/2017/03/24/us/politics/fact-check-trumps-misleading-claims-in-health-bill-failure.html
59,"April 6, 2017","If you look at the kind of cost-cutting we’ve been able to achieve with the military and at the same time ordering vast amounts of equipment — saved hundreds of millions of dollars on airplanes, and really billions, because if you take that out over a period of years it’s many billions of dollars — I think we’ve had a tremendous success.",Much of the price cuts were already projected.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
60,"April 11, 2017","I like Steve, but you have to remember he was not involved in my campaign until very late. I had already beaten all the senators and all the governors, and I didn’t know Steve.",He knew Steve Bannon since 2011.,https://www.nytimes.com/2017/04/12/us/politics/trump-steven-bannon-fox-business-news-interview.html?ref=politics
61,"April 12, 2017","You can't do it faster, because they're obstructing. They're obstructionists. So I have people — hundreds of people that we're trying to get through. I mean you have — you see the backlog. We can't get them through.","At this point, he had not nominated anyone for hundreds of positions.",https://www.nytimes.com/2017/04/12/us/politics/trump-steven-bannon-fox-business-news-interview.html?ref=politics
62,"April 12, 2017",The New York Times said the word wiretapped in the headline of the first edition. Then they took it out of there fast when they realized.,"There were separate headlines for print and web, but neither were altered.",https://www.nytimes.com/2017/03/23/us/politics/fact-check-trump-misleads-surveillance-wiretapping.html
63,"April 12, 2017","The secretary general and I had a productive discussion about what more NATO can do in the fight against terrorism. I complained about that a long time ago and they made a change, and now they do fight terrorism.",NATO has been engaged in counterterrorism efforts since the 1980s.,https://www.nytimes.com/2017/04/12/us/politics/trump-steven-bannon-fox-business-news-interview.html?ref=politics
64,"April 12, 2017",Mosul was supposed to last for a week and now they’ve been fighting it for many months and so many more people died.,The campaign was expected to take months.,https://www.washingtonpost.com/news/the-fix/wp/2017/04/12/president-trumps-throughly-confusing-fox-business-interview-annotated/
65,"April 16, 2017",Someone should look into who paid for the small organized rallies yesterday. The election is over!,There's no evidence of paid protesters.,https://www.nytimes.com/2017/04/15/us/politics/tax-day-march.html
66,"April 18, 2017","The fake media goes, ‘Donald Trump changed his stance on China.’ I haven’t changed my stance.",He did.,https://www.nytimes.com/2017/04/14/business/china-currency-manipulation-trump.html
67,"April 21, 2017","On 90 planes I saved $725 million. It's actually a little bit more than that, but it's $725 million.",Much of the price cuts were already projected.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
68,"April 21, 2017","When WikiLeaks came out ... never heard of WikiLeaks, never heard of it.",He criticized it as early as 2010.,https://www.washingtonpost.com/news/fact-checker/wp/2017/04/25/fact-checking-president-trumps-pinocchio-laden-associated-press-interview/?utm_term=.33ae871d0c9c
69,"April 27, 2017",I want to help our miners while the Democrats are blocking their healthcare.,The bill to extend health benefits for certain coal miners was introduced by a Democrat and was co-sponsored by mostly Democrats.,http://www.pbs.org/newshour/rundown/retired-coal-miners-get-health-care-fix-pension-problems-remain/
70,"April 28, 2017","The trade deficit with Mexico is close to $70 billion, even with Canada it’s $17 billion trade deficit with Canada.","The U.S. had an $8.1 billion trade surplus, not deficit, with Canada in 2016.",http://www.factcheck.org/2017/05/trumps-100-day-boasts/
71,"April 28, 2017","She's running against someone who's going to raise your taxes to the sky, destroy your health care, and he's for open borders — lots of crime.",Those are not Jon Ossoff's positions.,http://www.mdjonline.com/opinion/jon-ossoff-voters-too-smart-to-believe-attack-ads/article_d6c9dafa-1e5a-11e7-a93c-c7e0b4d4f985.html
72,"April 28, 2017","The F-35 fighter jet program — it was way over budget. I’ve saved $725 million plus, just by getting involved in the negotiation.",Much of the price cuts were planned before Trump.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
73,"April 29, 2017","As you know, I've been a big critic of China, and I've been talking about currency manipulation for a long time. But I have to tell you that during the election, number one, they stopped.",China stopped years ago.,https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html
74,"April 29, 2017",I've already saved more than $725 million on a simple order of F-35 planes. I got involved in the negotiation.,Much of the price cuts were planned before Trump.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
75,"April 29, 2017","We're also getting NATO countries to finally step up and contribute their fair share. They've begun to increase their contributions by billions of dollars, but we are not going to be satisfied until everyone pays what they owe.",The deal was struck in 2014.,https://www.nytimes.com/2017/03/01/us/politics/fact-check-trump-military.html
76,"April 29, 2017","When they talk about currency manipulation, and I did say I would call China, if they were, a currency manipulator, early in my tenure. And then I get there. Number one, they — as soon as I got elected, they stopped.",China stopped in 2014.,https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html
77,"April 29, 2017","I was negotiating to reduce the price of the big fighter jet contract, the F-35, which was totally out of control. I will save billions and billions and billions of dollars.",Most of the cuts were planned before Trump.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
78,"April 29, 2017",I think our side's been proven very strongly. And everybody's talking about it.,There's still no evidence Trump's phones were tapped.,https://www.nytimes.com/2017/03/20/us/politics/intelligence-committee-russia-donald-trump.html
79,"May 1, 2017","Well, we are protecting pre-existing conditions. And it'll be every good — bit as good on pre-existing conditions as Obamacare.",The bill weakens protections for people with pre-existing conditions.,https://www.nytimes.com/2017/04/26/upshot/what-changed-in-the-health-repeal-plan-to-win-over-the-freedom-caucus.html
80,"May 1, 2017","The F-35 fighter jet — I saved — I got involved in the negotiation. It's 2,500 jets. I negotiated for 90 planes, lot 10. I got $725 million off the price.",Much of the price cuts were planned before Trump.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
81,"May 1, 2017","First of all, since I started running, they haven't increased their — you know, they have not manipulated their currency. I think that was out of respect to me and the campaign.",China stopped years ago.,https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html
82,"May 2, 2017","I love buying those planes at a reduced price. I have been really — I have cut billions — I have to tell you this, and they can check, right, Martha? I have cut billions and billions of dollars off plane contracts sitting here.",Much of the cost cuts were planned before Trump.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
83,"May 4, 2017","Number two, they’re actually not a currency [manipulator]. You know, since I’ve been talking about currency manipulation with respect to them and other countries, they stopped.",China stopped years ago.,https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html
84,"May 4, 2017",We’re the highest-taxed nation in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
85,"May 4, 2017",Nobody cares about my tax return except for the reporters.,Polls show most Americans do care.,http://time.com/money/4732925/trump-tax-returns-released-poll/
86,"May 8, 2017",You know we’ve gotten billions of dollars more in NATO than we’re getting. All because of me.,The deal was struck in 2014.,https://www.nytimes.com/2017/03/01/us/politics/fact-check-trump-military.html
87,"May 8, 2017","But when I did his show, which by the way was very highly rated. It was high — highest rating. The highest rating he’s ever had.",Colbert's Late Show debut had nearly two million more viewers.,http://money.cnn.com/2017/05/11/media/stephen-colbert-trump-no-talent-comment/
88,"May 8, 2017","Director Clapper reiterated what everybody, including the fake media already knows — there is ‘no evidence’ of collusion w/ Russia and Trump.",Clapper only said he wasn't aware of an investigation.,https://www.nytimes.com/2017/05/10/us/politics/fact-check-fbi-james-comey-sarah-huckabee-sanders.html
89,"May 12, 2017","Again, the story that there was collusion between the Russians & Trump campaign was fabricated by Dems as an excuse for losing the election.",The F.B.I. was investigating before the election.,https://www.nytimes.com/interactive/2017/05/10/us/politics/fbi-congress-trump-russia-investigations.html
90,"May 12, 2017","When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?",Clapper said he wouldn't have been told of an investigation into collusion.,https://www.nytimes.com/2017/05/10/us/politics/fact-check-fbi-james-comey-sarah-huckabee-sanders.html
91,"May 13, 2017",I'm cutting the price of airplanes with Lockheed.,The cost cuts were planned before he became president.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/
92,"May 26, 2017",Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.,He's referencing an arms deal that's not enacted and other apparent deals that weren't announced on the trip.,https://www.washingtonpost.com/news/fact-checker/wp/2017/05/26/president-trumps-claim-that-hes-already-saved-millions-of-jobs-on-his-foreign-trip/?utm_term=.820dd5955428
93,"June 1, 2017","China will be allowed to build hundreds of additional coal plants. So, we can’t build the plants, but they can, according to this agreement. India will be allowed to double its coal production by 2020.",The agreement doesn’t allow or disallow building coal plants.,https://www.washingtonpost.com/news/the-fix/wp/2017/06/01/transcript-president-trumps-remarks-on-leaving-the-paris-climate-deal-annotated/?utm_term=.7f974232c4ba
94,"June 1, 2017","I’ve just returned from a trip overseas where we concluded nearly $350 billion of military and economic development for the United States, creating hundreds of thousands of jobs.",Trump’s figures are inflated and premature.,https://www.washingtonpost.com/news/fact-checker/wp/2017/06/08/the-trump-administrations-tally-of-350-billion-plus-in-deals-with-saudi-arabia/?utm_term=.142db3117855
95,"June 4, 2017",At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’,The mayor was specifically talking about the enlarged police presence on the streets.,http://www.snopes.com/2017/06/04/london-mayor-sadiq-khan-no-reason-to-be-alarmed-trump/
96,"June 5, 2017","The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C.","Trump signed this version of the travel ban, not the Justice Department.",http://www.factcheck.org/2017/06/trumps-tweets-twist-facts/
97,"June 20, 2017","Well, the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O!","Republicans have won four special elections this year, while a Democrat won one.",https://www.washingtonpost.com/news/the-fix/wp/2017/06/21/republicans-claim-a-big-victory-and-trump-promptly-exaggerates-it/?utm_term=.ce22a6dade36
98,"June 21, 2017",They all say it's 'nonbinding.' Like hell it's nonbinding.,The Paris climate agreement is nonbinding — and Trump said so in his speech announcing the withdrawal.,https://www.nytimes.com/2017/06/21/us/politics/trump-iowa-rally-venting-session.html
99,"June 21, 2017","Right now, we are one of the highest-taxed nations in the world.",We're not.,http://www.politifact.com/truth-o-meter/article/2017/jun/22/fact-checking-nine-things-trump-overstated-got-wro/
100,"June 21, 2017","You have a gang called MS-13. ... We are moving them out of the country by the thousands, by the thousands.",The real number of gang members deported is smaller.,http://www.factcheck.org/2017/06/factchecking-trumps-iowa-rally
101,"June 21, 2017",Your insurance companies have all fled the state of Iowa.,They haven't.,http://www.factcheck.org/2017/06/factchecking-trumps-iowa-rally/
102,"June 21, 2017","If [farmers] have a puddle in the middle of their field ... it's considered a lake and you can't touch it. ... We got rid of that one, too, O.K.?",The Obama environmental rule to limit pollution in the country’s waters explicitly excludes puddles.,https://www.nytimes.com/2017/06/22/us/politics/factcheck-donald-trump-iowa-rally.html
103,"June 21, 2017","Gary Cohn just paid $200 million in tax in order to take this job, by the way.",Cohn sold Goldman Sachs stock worth $220 million.,https://www.nytimes.com/2017/06/22/us/politics/factcheck-donald-trump-iowa-rally.html
104,"June 21, 2017",We’re 5 and 0.,"Republicans have won four special elections this year, while a Democrat won one.",https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.60ce71155f60
105,"June 21, 2017","Last week a brand-new coal mine just opened in the state of Pennsylvania, first time in decades, decades.",Another coal mine opened in 2014.,https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.60ce71155f60
106,"June 22, 2017",Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump & Russia.,"Johnson, who had a different title, didn't say that.",http://talkingpointsmemo.com/livewire/trump-claims-johnson-testimony-clears-him
107,"June 23, 2017",We are 5 and 0 ... in these special elections.,"Republicans have won four special elections this year, while a Democrat won one.",http://www.chicagotribune.com/news/nationworld/politics/factcheck/ct-fact-check-trump-missions-20170624-story.html
108,"June 27, 2017",Ratings way down!,CNN's ratings were at a five-year high at the time.,http://www.politifact.com/truth-o-meter/statements/2017/jul/03/donald-trump/trumps-pants-fire-claim-cnn-ratings-are-way-down/
109,"June 28, 2017",Democrats purposely misstated Medicaid under new Senate bill — actually goes up.,Senate bill would have cut the program deeply.,https://www.washingtonpost.com/news/fact-checker/wp/2017/06/30/president-trumps-claim-medicaid-spending-in-senate-health-bill-actually-goes-up/?utm_term=.a319dee54870
110,"June 29, 2017","General Kelly and his whole group — they’ve gotten rid of 6,000 so far.",The real number of MS-13 gang members who have been deported is smaller.,https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.aa961e129167
111,"July 6, 2017","As a result of this insistence, billions of dollars more have begun to pour into NATO.",NATO countries agreed to meet defense spending requirements in 2014.,http://www.nbcnews.com/politics/donald-trump/fact-check-long-trump-took-credit-nato-spending-was-n780241
